,date,venue_name,latitude,longitude,wdir,temp,maxt,visibility,wspd,cloudcover,mint,precip,snowdepth,dew,humidity,precipcover
3074,2018-05-21,Dodger Stadium,34.074552350000005,-118.24004805779221,175.38,16.3,18.2,9.2,5.2,96.4,15.5,1.61,0.0,11.9,75.35,16.67
3075,2018-05-21,Target Field,44.9817039,-93.2778457595517,120.75,17.0,20.9,9.9,10.5,97.4,14.5,0.0,0.0,9.0,59.56,0.0
3076,2018-05-21,Busch Stadium,38.62255379999999,-90.19392193458769,172.83,21.7,26.7,9.6,13.4,62.5,18.4,8.93,0.0,18.9,84.98,20.83
3077,2018-05-21,Citi Field,40.75727785,-73.84587884942417,161.79,19.9,25.3,9.9,12.2,54.0,15.9,0.0,0.0,9.6,53.38,0.0
3078,2018-05-21,Globe Life Park in Arlington,32.7513904,-97.08347649984135,141.79,24.2,29.6,9.9,8.6,23.8,18.2,0.0,0.0,18.8,74.18,0.0
3079,2018-05-21,Nationals Park,38.87274095,-77.00838588569519,73.83,23.3,27.1,9.9,14.4,83.0,20.0,0.0,0.0,16.0,64.56,0.0
3080,2018-05-22,Rogers Centre,43.6416641,-79.38919882366382,109.79,13.0,14.6,65.9,14.8,51.8,10.8,12.95,0.0,9.4,80.53,25.0
3081,2018-05-22,Miller Park,43.0280619,-87.97209586840819,170.42,12.6,18.1,5.0,6.9,57.1,8.8,0.16,0.0,10.7,89.03,8.33
3082,2018-05-22,Citizens Bank Park,39.90588575,-75.16541101747245,123.13,16.9,18.9,9.2,6.8,92.3,15.5,6.86,0.0,13.8,82.12,20.83
3083,2018-05-22,Guaranteed Rate Field,41.8300162,-87.63256264837347,102.46,14.9,18.7,5.2,10.1,80.7,12.2,1.12,0.0,12.8,87.85,4.17
3084,2018-05-22,Tropicana Field,27.7680559,-82.65327550461797,137.25,23.2,26.3,9.2,13.6,70.4,21.8,24.75,0.0,22.2,94.42,29.17
3085,2018-05-22,Wrigley Field,41.9481225,-87.6563513145702,113.96,15.0,18.3,5.8,9.8,76.9,12.8,0.62,0.0,12.5,86.07,4.17
3086,2018-05-22,Dodger Stadium,34.074552350000005,-118.24004805779221,166.42,16.8,19.1,9.9,10.8,84.6,15.4,0.0,0.0,11.4,71.0,0.0
3087,2018-05-22,Target Field,44.9817039,-93.2778457595517,149.96,18.6,24.0,9.5,8.5,67.2,13.1,0.0,0.0,13.0,71.3,0.0
3088,2018-05-22,Busch Stadium,38.62255379999999,-90.19392193458769,206.13,24.3,28.8,9.7,10.6,23.0,19.9,0.0,0.0,18.3,71.18,0.0
3089,2018-05-22,Citi Field,40.75727785,-73.84587884942417,119.13,17.1,20.4,9.2,13.5,93.6,13.8,5.54,0.0,10.4,66.52,20.83
3090,2018-05-22,Globe Life Park in Arlington,32.7513904,-97.08347649984135,145.54,25.3,30.9,9.9,9.5,22.7,19.7,0.0,0.0,19.3,72.13,0.0
3091,2018-05-22,Great American Ball Park,39.09724845,-84.50662325533993,183.54,22.5,28.3,9.1,11.9,86.4,19.3,15.41,0.0,20.3,88.07,41.67
3092,2018-05-22,Nationals Park,38.87274095,-77.00838588569519,149.71,20.7,25.1,9.7,17.2,93.8,18.7,30.48,0.0,17.2,80.71,29.17
3093,2018-05-22,Oakland Coliseum,37.75167500000001,-122.19937132239198,245.33,13.0,14.6,7.3,14.2,99.5,11.8,0.0,0.0,10.9,87.48,0.0
3094,2018-05-22,Minute Maid Park,29.75723205,-95.35523391491142,124.08,24.8,29.2,9.5,10.6,72.1,21.2,13.82,0.0,22.3,86.9,16.67
3095,2018-05-23,Rogers Centre,43.6416641,-79.38919882366382,280.5,18.2,25.7,66.2,12.8,5.3,11.1,0.0,0.0,8.6,59.88,0.0
3096,2018-05-23,Miller Park,43.0280619,-87.97209586840819,200.46,18.1,23.7,9.6,13.5,58.2,10.2,0.0,0.0,12.6,72.35,0.0
3097,2018-05-23,Citizens Bank Park,39.90588575,-75.16541101747245,228.29,21.3,26.2,7.5,15.2,66.2,16.1,0.0,0.0,14.9,70.71,0.0
3098,2018-05-23,Guaranteed Rate Field,41.8300162,-87.63256264837347,98.13,18.3,25.6,8.2,9.8,48.8,11.1,0.0,0.0,11.3,67.52,0.0
